restaurant,rx,ry,order,ox,oy,placement_time,ready_time
r1,8708,5633,o1,9131,7497,743,753
r1,8708,5633,o8,7940,6877,612,622
r1,8708,5633,o21,7377,5287,336,346
r1,8708,5633,o26,6992,7441,623,633
r1,8708,5633,o38,10981,6805,594,614
r1,8708,5633,o44,9254,7438,564,584
r1,8708,5633,o51,7550,6061,493,503
r1,8708,5633,o54,8230,8128,740,750
r1,8708,5633,o68,4850,5008,631,641
r1,8708,5633,o69,9990,6549,680,700
r1,8708,5633,o81,9098,8163,776,786
r1,8708,5633,o87,9670,7882,296,306
r1,8708,5633,o96,11567,5487,541,561
r1,8708,5633,o135,8678,6417,514,534
r1,8708,5633,o139,6533,7595,628,638
r1,8708,5633,o144,9133,8592,610,620
r1,8708,5633,o148,9578,5886,117,127
r1,8708,5633,o151,7212,3738,710,720
r1,8708,5633,o161,8914,5208,703,713
r1,8708,5633,o168,6394,4143,228,238
r1,8708,5633,o183,10487,5816,703,723
r1,8708,5633,o192,8484,8769,733,743
r1,8708,5633,o193,6032,6653,240,250
r1,8708,5633,o196,7793,5850,732,752
r1,8708,5633,o208,10396,4124,604,624
r1,8708,5633,o215,5709,5389,491,518
r1,8708,5633,o226,8257,7638,102,112
r1,8708,5633,o237,5794,6547,500,518
r1,8708,5633,o245,8146,6753,152,162
r1,8708,5633,o246,9187,8245,486,506
r1,8708,5633,o264,10096,7301,660,670
r1,8708,5633,o311,8157,6529,565,585
r1,8708,5633,o318,9360,9013,276,286
r1,8708,5633,o321,11223,8064,252,262
r1,8708,5633,o322,7204,7843,711,731
r1,8708,5633,o331,8895,7697,243,253
r1,8708,5633,o338,9103,7939,641,661
r1,8708,5633,o344,5758,5671,493,518
r1,8708,5633,o366,6797,6348,540,560
r1,8708,5633,o382,9019,7697,573,593
r1,8708,5633,o384,8487,6822,504,518
r1,8708,5633,o398,8611,9242,544,564
r1,8708,5633,o406,6259,6954,492,512
r1,8708,5633,o414,11214,8598,618,638
r1,8708,5633,o423,7751,8242,170,180
r1,8708,5633,o429,8208,3771,760,780
r1,8708,5633,o431,8606,6284,601,621
r1,8708,5633,o437,10437,8294,530,540
r1,8708,5633,o457,9515,9546,600,620
r1,8708,5633,o498,9132,6880,330,340
r2,9103,6345,o2,9024,6677,541,557
r2,9103,6345,o24,10540,6630,563,572
r2,9103,6345,o252,10107,7875,578,589
r2,9103,6345,o309,7967,9096,565,573
r2,9103,6345,o374,7882,6745,569,589
r2,9103,6345,o412,9111,6674,197,210
r3,8991,6342,o3,5645,7048,626,656
r3,8991,6342,o76,9082,8584,93,123
r3,8991,6342,o80,9534,7114,610,640
r3,8991,6342,o128,6415,5002,569,599
r3,8991,6342,o147,10358,4122,554,584
r3,8991,6342,o241,7351,7983,570,600
r3,8991,6342,o300,9141,9906,97,127
r3,8991,6342,o376,7903,6912,570,600
r3,8991,6342,o492,6626,4729,633,663
r3,8991,6342,o493,11370,8339,453,483
r4,8542,5317,o4,6019,5613,566,582
r4,8542,5317,o72,4686,6509,584,599
r5,7577,5076,o5,7083,5106,574,582
r5,7577,5076,o66,4687,6979,198,203
r5,7577,5076,o317,4669,4740,553,575
r5,7577,5076,o442,9029,6991,137,151
r5,7577,5076,o455,7941,5331,104,119
r6,10970,7418,o6,10874,7195,131,144
r7,8910,7595,o7,4015,7024,588,598
r7,8910,7595,o23,11107,6453,572,584
r7,8910,7595,o37,9028,8513,458,473
r7,8910,7595,o91,9436,9687,616,627
r7,8910,7595,o256,9137,7431,568,579
r7,8910,7595,o334,9591,10102,543,553
r7,8910,7595,o427,10615,9004,584,598
r7,8910,7595,o505,8804,5179,597,604
r8,6461,6158,o9,9275,6221,680,700
r8,6461,6158,o299,8315,8412,674,689
r8,6461,6158,o385,7474,3407,558,571
r8,6461,6158,o424,6531,5878,558,571
r9,10269,6113,o10,9697,7867,563,593
r9,10269,6113,o244,6630,6661,592,612
r9,10269,6113,o259,9068,9068,632,662
r10,5979,7970,o11,3025,6413,526,541
r10,5979,7970,o207,10128,8235,329,344
r11,2901,7474,o12,8719,8104,313,338
r11,2901,7474,o49,1624,5377,199,230
r11,2901,7474,o56,891,6700,421,441
r11,2901,7474,o98,8054,7034,503,530
r11,2901,7474,o102,879,4904,515,537
r11,2901,7474,o152,1244,4698,177,197
r11,2901,7474,o214,6524,6181,622,642
r11,2901,7474,o229,2926,7519,108,142
r11,2901,7474,o255,1819,6387,568,595
r11,2901,7474,o307,3375,7045,368,393
r11,2901,7474,o313,4262,6995,653,673
r11,2901,7474,o360,2681,4888,644,674
r11,2901,7474,o408,1715,6668,555,588
r11,2901,7474,o413,3923,6917,338,358
r11,2901,7474,o417,7741,7237,191,211
r11,2901,7474,o468,2613,6438,105,125
r11,2901,7474,o482,4094,5022,578,608
r12,8880,7888,o13,9483,8122,508,518
r12,8880,7888,o265,6778,9520,552,562
r12,8880,7888,o354,8767,4439,526,538
r12,8880,7888,o378,10507,8548,652,662
r12,8880,7888,o441,10172,5392,220,262
r12,8880,7888,o443,7051,7456,663,674
r12,8880,7888,o464,11309,8312,458,495
r12,8880,7888,o473,8115,7963,220,225
r12,8880,7888,o480,6227,6932,436,451
r12,8880,7888,o495,7349,9863,437,452
r12,8880,7888,o500,7872,7823,231,236
r13,4607,5595,o14,1478,5111,455,463
r13,4607,5595,o52,3906,6535,563,583
r13,4607,5595,o83,5720,4760,520,536
r13,4607,5595,o104,6613,7377,496,508
r13,4607,5595,o111,3258,5482,613,643
r13,4607,5595,o121,6363,5770,59,78
r13,4607,5595,o124,3644,5513,525,545
r13,4607,5595,o142,6237,6394,708,723
r13,4607,5595,o175,6881,7247,462,463
r13,4607,5595,o278,1809,7038,469,483
r13,4607,5595,o283,5169,7710,657,677
r13,4607,5595,o323,6415,6974,541,550
r13,4607,5595,o336,5748,7681,712,723
r13,4607,5595,o356,1015,6740,704,721
r13,4607,5595,o380,6590,4943,581,590
r14,6756,9240,o15,3664,6875,646,666
r14,6756,9240,o74,9822,6991,506,541
r14,6756,9240,o180,4691,5704,430,444
r14,6756,9240,o231,6155,6841,784,802
r14,6756,9240,o250,7787,9448,498,541
r14,6756,9240,o273,9663,8107,740,754
r14,6756,9240,o355,3798,8663,531,551
r15,7654,7632,o16,8494,7488,265,268
r15,7654,7632,o141,9077,6822,550,556
r15,7654,7632,o222,8841,9392,482,487
r15,7654,7632,o230,9778,7214,669,673
r15,7654,7632,o447,9254,8236,292,293
r15,7654,7632,o469,7467,5117,190,192
r15,7654,7632,o499,5375,6758,302,320
r16,8466,5699,o17,9338,7050,647,677
r16,8466,5699,o19,5725,7950,581,611
r16,8466,5699,o112,4342,4755,485,515
r16,8466,5699,o173,9960,4600,138,168
r16,8466,5699,o205,6460,6421,245,275
r16,8466,5699,o271,8586,8416,511,541
r16,8466,5699,o337,7824,4774,611,641
r16,8466,5699,o362,7029,5850,567,597
r16,8466,5699,o422,8182,6165,634,664
r16,8466,5699,o474,9783,4323,619,649
r17,8736,4191,o18,8337,7005,571,581
r17,8736,4191,o202,6519,3954,487,502
r17,8736,4191,o216,4510,4927,732,740
r17,8736,4191,o289,9402,5242,514,527
r17,8736,4191,o349,10832,4891,567,581
r17,8736,4191,o368,11638,3919,220,226
r17,8736,4191,o463,6690,7706,420,433
r17,8736,4191,o472,10167,7240,725,734
r18,8737,6451,o20,4962,7520,598,607
r18,8737,6451,o119,8779,10013,187,202
r18,8737,6451,o236,5851,8826,518,528
r18,8737,6451,o404,6489,4952,631,658
r19,4945,5485,o22,2210,6886,152,160
r19,4945,5485,o60,6590,4234,539,554
r19,4945,5485,o65,6287,5702,555,576
r19,4945,5485,o201,6746,6466,590,608
r19,4945,5485,o326,9377,7030,589,608
r19,4945,5485,o335,6696,5240,511,522
r19,4945,5485,o348,6941,6978,373,388
r20,8624,8334,o25,9167,8850,625,656
r20,8624,8334,o84,7941,4655,549,554
r20,8624,8334,o109,6426,6043,606,621
r20,8624,8334,o122,9921,10022,676,691
r20,8624,8334,o123,7746,5301,591,601
r20,8624,8334,o243,7872,9633,516,536
r20,8624,8334,o280,5804,6356,565,581
r20,8624,8334,o288,8550,7970,500,520
r20,8624,8334,o293,9552,10180,570,581
r20,8624,8334,o296,5908,7618,635,660
r20,8624,8334,o315,9119,8184,625,656
r20,8624,8334,o320,9790,7349,180,195
r20,8624,8334,o327,8829,4894,641,666
r20,8624,8334,o351,8404,9302,523,547
r20,8624,8334,o367,11281,6678,671,688
r20,8624,8334,o381,8336,4568,659,688
r20,8624,8334,o407,6743,7355,634,656
r20,8624,8334,o439,9564,7952,521,547
r20,8624,8334,o452,6087,6545,569,581
r20,8624,8334,o485,9946,4986,669,688
r20,8624,8334,o490,10524,8446,551,556
r21,4710,7839,o27,9531,8542,202,208
r21,4710,7839,o63,7054,9176,486,503
r21,4710,7839,o75,8082,8383,210,219
r21,4710,7839,o113,3689,7677,258,270
r21,4710,7839,o140,6391,9575,497,506
r21,4710,7839,o174,6172,6752,98,108
r22,8938,7594,o28,7864,5357,621,642
r22,8938,7594,o194,9638,8151,177,192
r22,8938,7594,o233,10431,8989,564,587
r22,8938,7594,o247,11045,5202,455,469
r22,8938,7594,o253,10962,7130,162,182
r22,8938,7594,o274,10298,8401,542,554
r22,8938,7594,o294,9308,6989,626,642
r22,8938,7594,o357,9332,7084,344,358
r22,8938,7594,o373,8753,5520,567,582
r22,8938,7594,o403,7462,4796,459,469
r23,3063,7406,o29,7668,7425,535,552
r24,8715,4634,o30,8157,4242,614,630
r24,8715,4634,o57,8763,3986,537,558
r24,8715,4634,o59,9986,5085,645,671
r24,8715,4634,o138,8436,5848,665,684
r24,8715,4634,o158,9030,4444,532,558
r24,8715,4634,o179,6902,4696,558,576
r24,8715,4634,o210,8639,4642,638,661
r24,8715,4634,o221,9054,6579,631,661
r24,8715,4634,o358,10879,6777,683,697
r24,8715,4634,o470,11341,6000,580,589
r25,10252,6144,o31,8860,4758,266,274
r25,10252,6144,o47,11092,4454,562,566
r25,10252,6144,o395,7279,5544,371,396
r26,9968,9024,o32,9445,8099,588,615
r26,9968,9024,o39,9050,8155,603,615
r27,9723,4414,o33,8065,7096,643,667
r27,9723,4414,o105,11027,6829,263,274
r27,9723,4414,o167,11488,5284,550,571
r27,9723,4414,o176,10973,3969,538,550
r27,9723,4414,o267,7432,5053,297,305
r27,9723,4414,o303,9377,7120,607,627
r28,9229,7943,o34,9541,8187,506,514
r28,9229,7943,o85,9812,5019,493,503
